sale_id,date,service,price,promotion,quantity,revenue,cost,profit,region,age,gender,income,channel,payment_method
S00001,2023-01-01,Electrical Wiring,173.96,None,1,173.96,104.37,69.58,IL,36.0,Male,40-80k,Online Booking,Credit Card
S00002,2023-01-01,Gutter Cleaning,845.46,None,1,845.46,507.28,338.18,NJ,32.0,Male,<40k,Online Booking,Debit Card
S00003,2023-01-01,Roof Repair,940.82,REFERRAL20,1,752.65,564.49,188.16,CA,54.0,Non-binary,40-80k,Walk-in,Mobile Pay
S00004,2023-01-01,Roof Repair,1457.75,LOYALTY,1,1166.2,874.65,291.55,IL,25.0,Male,40-80k,Walk-in,Mobile Pay
S00005,2023-01-01,HVAC Servicing,1391.65,SUMMER15,1,1182.9,834.99,347.91,TX,27.0,Male,80-120k,Online Booking,Credit Card
S00006,2023-01-01,Water Heater Installation,1033.36,None,1,1033.36,620.02,413.34,PA,43.0,Female,80-120k,Online Booking,Mobile Pay
S00007,2023-01-01,Gutter Cleaning,943.46,None,1,943.46,566.07,377.38,NJ,19.0,Male,80-120k,Walk-in,Cash
S00008,2023-01-01,Window Replacement,827.04,SPRING10,1,744.33,496.22,248.11,NY,43.0,Male,40-80k,Phone,Credit Card
S00009,2023-01-01,Roof Repair,1227.24,None,1,1227.24,736.35,490.9,NJ,38.0,Female,120k+,Walk-in,Cash
S00010,2023-01-01,Lawn Maintenance,1021.63,SUMMER15,1,868.39,612.98,255.41,PA,31.0,Male,80-120k,Walk-in,Credit Card
S00011,2023-01-01,Window Replacement,487.46,SPRING10,1,438.71,292.47,146.24,FL,45.0,Male,120k+,Phone,Cash
S00012,2023-01-01,Gutter Cleaning,1391.7,SPRING10,1,1252.53,835.02,417.51,PA,38.0,Male,40-80k,Online Booking,Cash
S00013,2023-01-01,Water Heater Installation,559.04,SUMMER15,1,475.18,335.42,139.76,NY,39.0,Male,80-120k,Online Booking,Mobile Pay
S00014,2023-01-01,Water Heater Installation,570.85,LOYALTY,2,913.36,685.02,228.34,TX,34.0,Female,40-80k,Online Booking,Cash
S00015,2023-01-01,Window Replacement,116.8,LOYALTY,1,93.44,70.08,23.36,NJ,38.0,Female,40-80k,Online Booking,Mobile Pay
S00016,2023-01-01,Electrical Wiring,219.56,None,3,658.69,395.22,263.48,NY,57.0,,40-80k,Walk-in,Mobile Pay
S00017,2023-01-02,,825.21,None,1,825.21,495.13,330.09,NJ,39.0,Female,120k+,Walk-in,Cash
S00018,2023-01-02,Gutter Cleaning,700.81,None,1,700.81,420.49,280.32,NY,24.0,Non-binary,80-120k,Walk-in,Cash
S00019,2023-01-02,Electrical Wiring,248.62,SUMMER15,2,422.66,298.35,124.31,NJ,32.0,Male,120k+,Online Booking,Cash
S00020,2023-01-02,Gutter Cleaning,806.88,SPRING10,1,726.19,484.13,242.06,NY,33.0,Non-binary,80-120k,Walk-in,Debit Card
S00021,2023-01-02,Lawn Maintenance,186.73,SUMMER15,1,158.72,112.04,46.68,TX,51.0,Non-binary,<40k,Walk-in,Cash
S00022,2023-01-02,Fence Repair,467.37,None,1,467.37,280.42,186.95,NY,37.0,Female,80-120k,Online Booking,Credit Card
S00023,2023-01-02,Roof Repair,155.89,REFERRAL20,1,124.71,93.53,31.18,NY,56.0,Male,120k+,Online Booking,Debit Card
S00024,2023-01-02,Lawn Maintenance,565.4,LOYALTY,1,452.32,339.24,113.08,TX,58.0,Female,120k+,Online Booking,Debit Card
S00025,2023-01-03,Painting,249.27,LOYALTY,1,199.42,149.56,49.85,PA,42.0,Female,120k+,Online Booking,Debit Card
S00026,2023-01-03,Roof Repair,1452.78,None,3,4358.35,2615.01,1743.34,PA,36.0,Male,40-80k,Walk-in,Debit Card
S00027,2023-01-03,Plumbing Repair,1311.1,None,1,1311.1,786.66,524.44,CA,29.0,Male,<40k,Online Booking,Cash
S00028,2023-01-03,Electrical Wiring,983.08,REFERRAL20,1,786.46,589.85,196.62,FL,49.0,Female,120k+,Online Booking,Debit Card
S00029,2023-01-03,Window Replacement,774.82,REFERRAL20,1,619.86,464.89,154.96,WA,30.0,Male,120k+,Phone,Debit Card
S00030,2023-01-03,Electrical Wiring,1394.5,None,1,1394.5,836.7,557.8,NJ,28.0,Female,120k+,Phone,Mobile Pay
S00031,2023-01-03,Plumbing Repair,779.89,None,2,1559.78,935.87,623.91,CA,49.0,Female,80-120k,Online Booking,Debit Card
S00032,2023-01-03,Roof Repair,449.64,SPRING10,1,404.68,269.79,134.89,WA,62.0,Male,120k+,Online Booking,Cash
S00033,2023-01-03,Fence Repair,1292.87,SPRING10,1,1163.58,775.72,387.86,NY,30.0,Female,<40k,Online Booking,Credit Card
